number,commit_sha,methods_changed,methods_impacted,classes_changed,classes_impacted
0,6b634fe4,0,0,0,193
1,f234c768,0,0,0,0
2,9d0d9919,0,0,0,0
3,a7824cdf,0,0,0,0
4,8ecd358f,0,0,0,0
5,889d94fa,1,2,1,9
6,457c7928,0,0,0,0
7,c43c22ba,0,0,0,0
8,93147642,0,0,0,0
9,4369d10a,0,0,0,0
10,958e6d2a,0,0,0,0
11,1f1b5c3e,0,0,0,0
12,e9f79c24,0,0,0,0
13,d720e879,0,0,0,0
14,62d55fdd,5,8,7,62
15,340f3b49,0,0,0,0
16,35e9cf25,0,0,0,0
17,76eaf871,0,0,0,0
18,168d553c,0,0,0,0
19,9a390427,0,0,0,0
